date,oni_anomaly,temp_anomaly_sa
2004-06-15,0.17,-0.070539474
2004-07-15,0.28,-0.1873169
2004-08-15,0.47,-0.2570896
2004-09-15,0.64,0.20897484
2004-10-15,0.7,-0.079257965
2004-11-15,0.67,0.014081955
2004-12-15,0.66,0.14583969
2005-01-15,0.69,0.25763512
2005-02-15,0.64,0.34415054
2005-03-15,0.58,0.16373825
2005-04-15,0.45,-0.0796566
2005-05-15,0.43,0.18597984
2005-06-15,0.29,0.6277504
2005-07-15,0.11,0.07678604
2005-08-15,-0.06,0.3231697
2005-09-15,-0.14,-0.59687996
2005-10-15,-0.11,-0.069963455
2005-11-15,-0.29,0.12791443
2005-12-15,-0.57,-0.42131615
2006-01-15,-0.84,0.06607628
2006-02-15,-0.85,0.17266464
2006-03-15,-0.77,-0.06637192
2006-04-15,-0.57,-0.17390823
2006-05-15,-0.37,-0.76639175
2006-06-15,-0.14,0.2615509
2006-07-15,-0.03,0.84801483
2006-08-15,0.1,0.20768166
2006-09-15,0.3,-0.10428238
2006-10-15,0.54,0.220438
2006-11-15,0.77,-0.12289047
2006-12-15,0.94,0.19122314
2007-01-15,0.94,0.40125465
2007-02-15,0.66,0.20779037
2007-03-15,0.22,0.108472824
2007-04-15,-0.12,0.26429176
2007-05-15,-0.32,-0.6250057
2007-06-15,-0.38,-0.08736992
2007-07-15,-0.47,-0.32861137
2007-08-15,-0.56,-0.7837944
2007-09-15,-0.81,0.3523903
2007-10-15,-1.07,0.15343094
2007-11-15,-1.34,-0.14945793
2007-12-15,-1.5,-0.20155907
2008-01-15,-1.6,-0.28476524
2008-02-15,-1.64,-0.16651344
2008-03-15,-1.52,-0.37353325
2008-04-15,-1.29,-0.38672447
2008-05-15,-1.01,-0.54850197
2008-06-15,-0.84,-0.64266205
2008-07-15,-0.61,0.6970215
2008-08-15,-0.37,0.24301529
2008-09-15,-0.23,-0.22920036
2008-10-15,-0.24,0.12499237
2008-11-15,-0.35,0.46707153
2008-12-15,-0.55,-0.05555153
2009-01-15,-0.73,-0.1890316
2009-02-15,-0.85,-0.04202652
2009-03-15,-0.79,0.20830727
2009-04-15,-0.61,0.25149345
2009-05-15,-0.33,0.28277397
2009-06-15,0.01,-0.40525818
2009-07-15,0.28,-0.020338058
2009-08-15,0.45,0.47237015
2009-09-15,0.58,0.040737152
2009-10-15,0.71,0.13388252
2009-11-15,1.01,0.78077316
2009-12-15,1.36,-0.00046920776
2010-01-15,1.56,0.39294243
2010-02-15,1.5,0.8678646
2010-03-15,1.22,0.9779434
2010-04-15,0.84,0.22085953
2010-05-15,0.35,0.16368103
2010-06-15,-0.17,0.35386086
2010-07-15,-0.66,-0.090112686
2010-08-15,-1.05,-0.21562386
2010-09-15,-1.35,0.34689903
2010-10-15,-1.56,-0.05266571
2010-11-15,-1.64,-0.24241638
2010-12-15,-1.64,-0.034360886
2011-01-15,-1.59,-0.11484909
2011-02-15,-1.42,-0.2685318
2011-03-15,-1.19,-0.43224907
2011-04-15,-0.93,-0.065849304
2011-05-15,-0.73,-0.027952194
2011-06-15,-0.55,0.0837059
2011-07-15,-0.44,0.16461372
2011-08-15,-0.48,0.023546219
2011-09-15,-0.62,0.34815025
2011-10-15,-0.83,-0.3456993
2011-11-15,-1.01,0.051698685
2011-12-15,-1.09,0.097141266
2012-01-15,-1.04,-0.07121277
2012-02-15,-0.86,-0.1700077
2012-03-15,-0.72,-0.06145096
2012-04-15,-0.59,-0.009721756
2012-05-15,-0.47,0.32325172
2012-06-15,-0.26,0.1928711
2012-07-15,-0.01,-0.11202049
2012-08-15,0.25,0.34404182
2012-09-15,0.37,0.6589699
2012-10-15,0.37,0.5456562
2012-11-15,0.27,0.5135498
2012-12-15,0.05,0.28414154
2013-01-15,-0.21,0.35718155
2013-02-15,-0.43,0.20594406
2013-03-15,-0.43,0.006368637
2013-04-15,-0.34,0.24633026
2013-05-15,-0.3,0.26517487
2013-06-15,-0.36,0.5207443
2013-07-15,-0.41,0.10185242
2013-08-15,-0.4,-0.53868294
2013-09-15,-0.32,-0.19820023
2013-10-15,-0.26,-0.030778885
2013-11-15,-0.18,-0.04248619
2013-12-15,-0.17,0.5321369
2014-01-15,-0.27,0.151865
2014-02-15,-0.42,-0.0775795
2014-03-15,-0.46,-0.30753708
2014-04-15,-0.27,0.039224625
2014-05-15,0.04,0.15667725
2014-06-15,0.21,0.35496712
2014-07-15,0.16,0.34736443
2014-08-15,0.05,0.53110504
2014-09-15,0.07,0.6190834
2014-10-15,0.23,0.62483406
2014-11-15,0.49,0.07172012
2014-12-15,0.64,0.080841064
2015-01-15,0.66,0.24227524
2015-02-15,0.55,0.22070312
2015-03-15,0.47,0.22037697
2015-04-15,0.53,0.49045753
2015-05-15,0.7,0.54855347
2015-06-15,0.93,0.79665184
2015-07-15,1.18,0.6625061
2015-08-15,1.52,1.0826492
2015-09-15,1.86,0.9477596
2015-10-15,2.16,0.47266388
2015-11-15,2.42,0.6930275
2015-12-15,2.57,0.9040966
2016-01-15,2.64,0.93873596
2016-02-15,2.48,1.1209545
2016-03-15,2.14,0.7161064
2016-04-15,1.58,0.6320038
2016-05-15,0.94,0.13623428
2016-06-15,0.39,-0.29475212
2016-07-15,-0.07,0.6118698
2016-08-15,-0.36,0.74256134
2016-09-15,-0.54,0.026853561
2016-10-15,-0.63,0.20275879
2016-11-15,-0.69,0.29802895
2016-12-15,-0.67,0.26073456
2017-01-15,-0.56,0.29818916
2017-02-15,-0.34,0.34760094
2017-03-15,-0.16,0.13718987
2017-04-15,0.05,0.07586098
2017-05-15,0.2,0.618927
2017-06-15,0.3,0.3261013
2017-07-15,0.31,0.4905281
2017-08-15,0.14,0.8600197
2017-09-15,-0.11,0.59889793
2017-10-15,-0.38,0.28067398
2017-11-15,-0.65,0.13532448
2017-12-15,-0.84,0.32541847
2018-01-15,-0.97,0.014427185
2018-02-15,-0.92,0.12442207
2018-03-15,-0.85,0.18264389
2018-04-15,-0.7,0.3816719
2018-05-15,-0.5,0.31843758
2018-06-15,-0.22,-0.43381882
2018-07-15,-0.01,0.1016922
2018-08-15,0.09,-0.26231766
2018-09-15,0.23,0.5151119
2018-10-15,0.49,0.19260216
2018-11-15,0.76,0.24310875
2018-12-15,0.9,-0.09644127
2019-01-15,0.81,0.29759407
2019-02-15,0.75,0.40488434
2019-03-15,0.72,0.23181534
2019-04-15,0.71,0.59910583
2019-05-15,0.66,0.65561676
2019-06-15,0.54,0.91672134
2019-07-15,0.45,0.3088398
2019-08-15,0.28,0.18378258
2019-09-15,0.14,0.7644119
2019-10-15,0.19,0.11565781
2019-11-15,0.35,0.64632416
2019-12-15,0.51,0.35511398
2020-01-15,0.55,0.55540276
2020-02-15,0.5,0.44834328
2020-03-15,0.48,0.9184952
2020-04-15,0.4,0.29233932
2020-05-15,0.19,0.12867928
2020-06-15,-0.08,0.38628387
2020-07-15,-0.3,0.09257126
2020-08-15,-0.41,0.25936508
2020-09-15,-0.57,0.59690475
2020-10-15,-0.89,0.65914726
2020-11-15,-1.17,0.37950706
2020-12-15,-1.27,0.102235794
2021-01-15,-1.19,-0.16706657
2021-02-15,-1.05,0.017894745
2021-03-15,-0.93,-0.18027306
2021-04-15,-0.84,0.16815186
2021-05-15,-0.66,-0.06801796
2021-06-15,-0.48,-0.11227989
2021-07-15,-0.38,0.121393204
2021-08-15,-0.4,0.43706894
2021-09-15,-0.49,0.897665
2021-10-15,-0.67,0.3021679
2021-11-15,-0.81,-0.074459076
2021-12-15,-0.98,0.2680645
2022-01-15,-0.98,0.2919731
2022-02-15,-0.97,0.026395798
2022-03-15,-0.93,-0.34653664
2022-04-15,-0.99,-0.023311615
2022-05-15,-1.06,-0.5505867
2022-06-15,-0.99,-0.6274128
2022-07-15,-0.85,0.77030563
2022-08-15,-0.81,-0.17648697
2022-09-15,-0.91,-0.13594437
2022-10-15,-1.01,-0.18171883
2022-11-15,-0.99,-0.0963459
2022-12-15,-0.92,0.0143013
