date,oni_anomaly,temp_anomaly_sa
1998-01-15,2.39,0.50390816
1998-02-15,2.24,0.60801697
1998-03-15,1.93,0.444479
1998-04-15,1.44,0.59466743
1998-05-15,0.99,0.27673912
1998-06-15,0.45,0.10193634
1998-07-15,-0.13,0.86621857
1998-08-15,-0.78,0.27326012
1998-09-15,-1.12,-0.36229706
1998-10-15,-1.31,0.019481659
1998-11-15,-1.35,-0.3874035
1998-12-15,-1.48,-0.23975182
1999-01-15,-1.57,-0.53822136
1999-02-15,-1.55,-0.20932579
1999-03-15,-1.3,-0.4092083
1999-04-15,-1.07,-0.8220825
1999-05-15,-0.98,-0.579113
1999-06-15,-1.02,-0.414423
1999-07-15,-1.04,-0.44820786
1999-08-15,-1.1,-0.3897171
1999-09-15,-1.11,-0.08225632
1999-10-15,-1.16,-0.46979523
1999-11-15,-1.26,-0.6616821
1999-12-15,-1.46,-0.40989876
2000-01-15,-1.65,-0.41124725
2000-02-15,-1.66,-0.67855453
2000-03-15,-1.41,-0.79535294
2000-04-15,-1.07,-0.35720634
2000-05-15,-0.81,-0.44268227
2000-06-15,-0.71,-0.18432808
2000-07-15,-0.64,-1.2771568
2000-08-15,-0.55,-0.36894035
2000-09-15,-0.51,-1.0736084
2000-10-15,-0.55,-0.22422981
2000-11-15,-0.63,-0.7037144
2000-12-15,-0.75,-0.5068741
2001-01-15,-0.74,-0.6089344
2001-02-15,-0.68,-0.050951004
2001-03-15,-0.52,-0.25535202
2001-04-15,-0.44,-0.11918259
2001-05-15,-0.34,-0.35455894
2001-06-15,-0.25,-0.5905304
2001-07-15,-0.12,-0.091724396
2001-08-15,-0.08,0.30325127
2001-09-15,-0.13,-0.4945488
2001-10-15,-0.19,-0.1540699
2001-11-15,-0.29,-0.13325691
2001-12-15,-0.35,-0.20053482
2002-01-15,-0.31,-0.19504547
2002-02-15,-0.15,-0.20513916
2002-03-15,0.03,0.092157364
2002-04-15,0.09,-0.003730774
2002-05-15,0.2,0.34111214
2002-06-15,0.43,-0.47388077
2002-07-15,0.65,-0.046669006
2002-08-15,0.79,0.3100357
2002-09-15,0.86,-0.20311737
2002-10-15,1.01,0.46711922
2002-11-15,1.21,0.07711601
2002-12-15,1.31,0.054203033
2003-01-15,1.14,0.32794
2003-02-15,0.92,0.15171432
2003-03-15,0.63,-0.009498596
2003-04-15,0.38,-0.21404076
2003-05-15,-0.04,0.043161392
2003-06-15,-0.26,0.51563835
2003-07-15,-0.16,0.05606842
2003-08-15,0.08,-0.5767498
2003-09-15,0.21,-0.28026772
2003-10-15,0.26,0.072690964
2003-11-15,0.29,0.046958923
2003-12-15,0.35,-0.1347599
2004-01-15,0.35,0.092365265
2004-02-15,0.37,-0.24106407
2004-03-15,0.31,0.13291168
2004-04-15,0.23,0.26040077
2004-05-15,0.17,-0.86296463
